id, name, code, color, country_id
1, Alavés, ALA, #0232A0, 4
2, Athletic Club, BIL, #B0B0B0, 4
3, Atlético Madrid, ATM, #CB3524, 4
4, Barcelona, BAR, #A50044, 4
5, Celta Vigo, CEL, #8ABDFF, 4
6, Getafe, GET, #005999, 4
7, Mallorca, MLL, #7A0404, 4
8, Osasuna, OSA, #D91A21, 4
9, Real Betis, BET, #25961D, 4
10, Real Madrid, RMA, #FCF7F7, 4
11, Real Sociedad, RSO, #446175, 4
12, Sevilla, SEV, #FAFAFA, 4
13, Valencia, VAL, #FF8308, 4
14, Valladolid, VLL, #3D1169, 4
15, Rayo Vallecano, RAY, #333333, 4
16, Villarreal, VIL, #FFE667, 4
17, Espanyol, ESP, #0587D1, 4
18, Las Palmas, PAL, #FFE400, 4
19, Leganés, LEG, #DBB731, 4
20, Girona, GIR, #BD3541, 4
21, Granada, GRA, #D50032, 4
22, Elche, ELC, #00793F, 4
23, Cádiz, CAD, #FFD700, 4
24, Eibar, EIB, #FF9100, 4
25, Huesca, HUE, #003DA5, 4
26, Levante, LEV, #1E1E90, 4
27, Almería, ALM, #FF0000, 4
28, Málaga, MLG, #00489A, 4
29, Deportivo La Coruña, COR, #57175E, 4
30, Sporting Gijón, GIJ, #E2001A, 4
31, Oviedo, OVI, #094CA1, 4
32, Hércules, HRC, #0000FF, 4
33, Zaragoza, ZAR, #FF0010, 4
34, Racing Santander, RSA, #143E1B, 4
